"","EAN_UPC","Product_name"
"84","8711200337972","Calve  Erdnussbutter Crunchy veganer Brotaufstrich als Proteinquelle für eine ausgewogene Ernährung 8x 210g"
"85","8710604791076","Hellmann's  Vegan Mayo leckere Mayonnaise zum Dippen und Verfeinern 6x 270 g"
"86","4000400317155","Knorr"
"87","8710522797181","Knorr"
"88","8711200886746","Knorr Suli 3T Zahlen    13x      BT"
"89","8710447882733","Knorr  Bouillon Pur Delikatess mit würzigem Geschmack vegan 8x 8 Stück"
"90","4000400136619","Pfanni  Mini-Knödel Semmel   330 g"
"91","8720182405845","Knorr Spaghetteria Nudel-Fertiggericht Formagiana leckeres Nudelgericht fertig in 5 Minuten 10x 163 ml"
"92",NA,"Knorr Kaiserteller Griessnockerlsuppe, 14x62g"
"93","4007801375371","Knorr Knorr Kräuter Dressing - 50 Portionen (50 x 30 ml)"
"94","8712566202102","Knorr Tomato al Gusto Tomaten-Bolognese 370g 370g"
"95","9000275698712","Knorr Sweety Topfenknödel, 2 Portionen (1 x 150 g)"
"96","4000400307514","Knorr Salatkrönung Gartenkräuter (Salatdressing einfach zuzubereiten, für flexibel einsetzbares Dressing) 1er Pack (1 x 5 kg)"
"97","8714100823668","Knorr  Salatkrönung Italienische Art für ein leckeres Salatdressing mit natürlichen Zutaten* 2.1L"
"98","8710447772904","Knorr Natürlich Lecker Spaghetti Bolognese Fix 3 Portionen, 21er Pack (21 x 38 g)"
"99","8720182427564","Knorr Fix Würzmischung Würstchen-Gulasch für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 44 g 1 Stück"
"100","4046800310761","Mondamin  Kaiserschmarrn Österreichische Art Süßspeise schnell zubereitet, nur Milch zugeben 8x 2 Portionen"
"101","4007801103769","Knorr Blumenkohl, feine Karfiol Cremesuppe Trockenmischung (natürlicher, purer Blumenkohl Geschmack) 1er Pack (1 x 2,7 kg)"
"102","4013300534027","Unox"
"103","8718114953854","Knorr"
"104","8714100883006","Knorr  Kartoffel Snack Fleischbällchen & Röstzwiebeln leckeres Kartoffelgericht fertig in nur 5 Minuten"
